category_indexed,category,segment
0,"['antique shops - sales', 'repairs', 'restoration services']",Home
1,"['art dealers', 'galleries']",Art
2,"['artist supply', 'craft shops']",Art
3,"['bicycle shops - sales', 'service']",Home
4,"['books', 'periodicals', 'newspapers']",Media and Technology
5,"['cable', 'satellite', 'other pay television', 'radio services']",Media and Technology
6,"['computer programming', 'data processing', 'integrated systems design services']",Media and Technology
7,"['computers', 'computer peripheral equipment', 'software']",Media and Technology
8,"['digital goods: books', 'movies', 'music']",Media and Technology
9,"['equipment', 'tool', 'furniture', 'appliance rent al', 'leasing']",Home
10,"['florists supplies', 'nursery stock', 'flowers']",Home
11,"['furniture', 'home furnishings', 'equipment shops', 'manufacturers', 'except appliances']",Home
12,"['gift', 'card', 'novelty', 'souvenir shops']",Miscellaneous
13,"['health', 'beauty spas']",Miscellaneous
14,"['hobby', 'toy', 'game shops']",Miscellaneous
15,"['jewelry', 'watch', 'clock', 'silverware shops']",Accessories
16,"['lawn', 'garden supply outlets', 'including nurseries']",Home
17,"['motor vehicle supplies', 'new parts']",Home
18,"['music shops - musical instruments', 'pianos', 'sheet music']",Art
19,"['opticians', 'optical goods', 'eyeglasses']",Accessories
20,['shoe shops'],Accessories
21,"['stationery', 'office supplies', 'printing', 'writing paper']",Miscellaneous
22,['telecom'],Media and Technology
23,"['tent', 'awning shops']",Home
24,"['watch', 'clock', 'jewelry repair shops']",Accessories
